Time,WAP Browser Request Number,WAP Browser Request Success Ratio(%),HTTP Browser Request Number,HTTP Browser Request Success Ratio(%),JAVA Download Request Number,JAVA Download Request Success Ratio(%),MMS POST Request Number,MMS POST Request Success Ratio(%),MMS GET Request Number,MMS GET Request Ratio(%),PUSH Request Number,PUSH Request Success Ratio(%),Radius Request Number,Radius Request Success Ratio(%),Request Number,Request Success Ratio(%),Online User Number,Gateway Forward Request Delay(ms),Gateway Forward Response Delay(ms),SP Delay(ms),Service Delay(ms)
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,4,0,0,0,0
02:00,0,0,3,66.66,0,0,0,0,0,0,0,0,6,100,9,88.88,4,52,1,13,66.33
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,4,0,0,0,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
08:00,0,0,0,0,0,0,0,0,0,0,0,0,6,100,6,100.00,4,0,0,0,0
09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
11:00,0,0,6,100,0,0,0,0,0,0,0,0,2,100,8,100.00,4,140.33,0,280.16,421
12:00,0,0,2,50,0,0,0,0,0,0,0,0,10,100,12,91.66,3,6.5,0,40,46.5
13:00,0,0,0,0,0,0,0,0,0,0,0,0,32,100,32,100.00,3,0,0,0,0
14:00,0,0,3,66.66,0,0,0,0,0,0,0,0,10,100,13,92.30,3,59.66,0,7.33,67.33
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
16:00,0,0,0,0,0,0,0,0,0,0,0,0,8,100,8,100.00,4,0,0,0,0
17:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,4,0,0,0,0
18:00,0,0,2,50,0,0,0,0,0,0,0,0,14,100,16,93.75,4,6.5,0,13,19.5
19:00,0,0,0,0,0,0,0,0,0,0,0,0,4,100,4,100.00,4,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,4,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
