Time,WAP Browser Request Number,WAP Browser Request Success Ratio(%),HTTP Browser Request Number,HTTP Browser Request Success Ratio(%),JAVA Download Request Number,JAVA Download Request Success Ratio(%),MMS POST Request Number,MMS POST Request Success Ratio(%),MMS GET Request Number,MMS GET Request Ratio(%),PUSH Request Number,PUSH Request Success Ratio(%),Radius Request Number,Radius Request Success Ratio(%),Request Number,Request Success Ratio(%),Online User Number,Gateway Forward Request Delay(ms),Gateway Forward Response Delay(ms),SP Delay(ms),Service Delay(ms)
00:00,0,0,3,66.66,0,0,0,0,0,0,0,0,0,0,3,66.66,2,31,0,37.33,68.33
01:00,0,0,2,50,0,0,0,0,0,0,0,0,0,0,2,50.00,2,16.5,0,26.5,43
02:00,0,0,3,66.66,0,0,0,0,0,0,0,0,0,0,3,66.66,2,52,0,36.33,88.33
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
08:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,2,0,0,0,0
09:00,0,0,0,0,0,0,0,0,0,0,0,0,8,100,8,100.00,2,0,0,0,0
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
11:00,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100.00,3,0,0,0,0
12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
13:00,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100.00,3,93,0,10,103
14:00,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100.00,3,76,0,13,90
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
16:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,3,0,0,0,0
17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
18:00,0,0,50,98,0,0,0,0,0,0,0,0,3,100,53,98.11,5,92.3,0.6,502.46,595.7
19:00,0,0,0,0,0,0,0,0,0,0,0,0,9,100,9,100.00,3,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,3,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
