Gateway,Gateway Request Number,Total Number,Gateway Request Success Number,Gateway Request Virtual Number,Gateway Top Request Number,Gateway Success Rate(%),Gateway Virtual Rate(%),Gateway Top Average CPU Rate,Gateway Average Delay
wapgw1,0,0,0,0,0,0.00,0.00,3.00,0.00
wapgw2,384,384,374,384,0,97.39,100.00,1.00,449.95
wapgw3,0,0,0,0,0,0.00,0.00,2.00,0.00
wapgw4,0,0,0,0,0,0.00,0.00,2.00,0.00
wapradius,0,0,0,0,0,0.00,0.00,2.00,0.00
Total/Average,384,384,374,384,0,97.39,100.00,2.00,449.95
