Time,WAP Browser Request Number,WAP Browser Request Success Ratio(%),HTTP Browser Request Number,HTTP Browser Request Success Ratio(%),JAVA Download Request Number,JAVA Download Request Success Ratio(%),MMS POST Request Number,MMS POST Request Success Ratio(%),MMS GET Request Number,MMS GET Request Ratio(%),PUSH Request Number,PUSH Request Success Ratio(%),Radius Request Number,Radius Request Success Ratio(%),Request Number,Request Success Ratio(%),Online User Number,Gateway Forward Request Delay(ms),Gateway Forward Response Delay(ms),SP Delay(ms),Service Delay(ms)
00:00,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100.00,3,10,0,336,346
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
02:00,0,0,3,66.66,0,0,0,0,0,0,0,0,0,0,3,66.66,3,27.33,1,11,40
03:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,4,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
08:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,4,0,0,0,0
09:00,0,0,0,0,0,0,0,0,0,0,0,0,14,100,14,100.00,5,0,0,0,0
10:00,0,0,0,0,0,0,0,0,0,0,0,0,9,100,9,100.00,5,0,0,0,0
11:00,0,0,0,0,0,0,0,0,0,0,0,0,21,100,21,100.00,7,0,0,0,0
12:00,0,0,58,67.24,0,0,1,100,0,0,0,0,25,100,84,77.38,7,19.49,0.35,247.18,267.15
13:00,0,0,11,100,0,0,4,100,0,0,0,0,22,100,37,100.00,6,10.73,0.4,89.2,100.53
14:00,0,0,1,100,0,0,0,0,0,0,0,0,10,100,11,100.00,5,90,0,16,106
15:00,0,0,29,100,0,0,4,100,0,0,0,0,87,100,120,100.00,6,107.33,0.54,211.36,319.54
16:00,0,0,3,100,0,0,4,100,3,100,0,0,54,100,64,100.00,6,58.9,1.5,343.7,404.6
17:00,0,0,0,0,0,0,1,100,0,0,0,0,27,100,28,100.00,5,3,0,123,126
18:00,0,0,0,0,0,0,0,0,0,0,0,0,14,100,14,100.00,2,0,0,0,0
19:00,0,0,0,0,0,0,0,0,0,0,0,0,8,100,8,100.00,2,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0,10,100,10,100.00,2,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
