Time,WAP Browser Request Number,WAP Browser Request Success Ratio(%),HTTP Browser Request Number,HTTP Browser Request Success Ratio(%),JAVA Download Request Number,JAVA Download Request Success Ratio(%),MMS POST Request Number,MMS POST Request Success Ratio(%),MMS GET Request Number,MMS GET Request Ratio(%),PUSH Request Number,PUSH Request Success Ratio(%),Radius Request Number,Radius Request Success Ratio(%),Request Number,Request Success Ratio(%),Online User Number,Gateway Forward Request Delay(ms),Gateway Forward Response Delay(ms),SP Delay(ms),Service Delay(ms)
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,2,0,0,0,0
02:00,0,0,3,66.66,0,0,0,0,0,0,0,0,2,100,5,80.00,2,47.33,0,26.33,74.33
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
09:00,0,0,0,0,0,0,0,0,0,0,0,0,6,100,6,100.00,2,0,0,0,0
10:00,0,0,3,100,0,0,0,0,0,0,0,0,4,100,7,100.00,5,217.33,1,809.66,1028.66
11:00,0,0,1,100,0,0,1,100,2,100,0,0,20,100,24,100.00,5,115.5,0.75,240.25,357
12:00,0,0,0,0,0,0,0,0,0,0,0,0,10,100,10,100.00,5,0,0,0,0
13:00,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100.00,5,76,0,13,90
14:00,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100.00,5,70,0,13,83
15:00,0,0,1,100,0,0,0,0,0,0,0,0,11,100,12,100.00,4,433,0,786,1220
16:00,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100.00,5,0,0,0,0
17:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,5,0,0,0,0
18:00,0,0,0,0,0,0,0,0,0,0,0,0,10,100,10,100.00,5,0,0,0,0
19:00,0,0,0,0,0,0,0,0,0,0,0,0,7,100,7,100.00,5,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,4,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,6,100,6,100.00,4,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
