Time,WAP Browser Request Number,WAP Browser Request Success Ratio(%),HTTP Browser Request Number,HTTP Browser Request Success Ratio(%),JAVA Download Request Number,JAVA Download Request Success Ratio(%),MMS POST Request Number,MMS POST Request Success Ratio(%),MMS GET Request Number,MMS GET Request Ratio(%),PUSH Request Number,PUSH Request Success Ratio(%),Radius Request Number,Radius Request Success Ratio(%),Request Number,Request Success Ratio(%),Online User Number,Gateway Forward Request Delay(ms),Gateway Forward Response Delay(ms),SP Delay(ms),Service Delay(ms)
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
03:00,0,0,2,50,0,0,0,0,0,0,0,0,0,0,2,50.00,1,41.5,0,53,95
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
05:00,0,0,2,50,0,0,0,0,0,0,0,0,0,0,2,50.00,1,26.5,0,34.5,61.5
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
07:00,0,0,4,50,0,0,0,0,0,0,0,0,0,0,4,50.00,1,9.75,0.75,9.75,20.5
08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
09:00,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100.00,2,0,0,0,0
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
12:00,0,0,2,100,0,0,0,0,0,0,0,0,0,0,2,100.00,2,56.5,1.5,11.5,69.5
13:00,0,0,2,50,0,0,0,0,0,0,0,0,0,0,2,50.00,2,50,0,6.5,56.5
14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
17:00,0,0,0,0,0,0,0,0,0,0,0,0,4,100,4,100.00,2,0,0,0,0
18:00,0,0,0,0,0,0,0,0,0,0,0,0,10,100,10,100.00,2,0,0,0,0
19:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,2,0,0,0,0
20:00,0,0,55,43.63,0,0,0,0,0,0,0,0,4,100,59,47.45,3,107.83,0.49,474.65,583.21
21:00,0,0,78,38.46,0,0,0,0,0,0,0,0,2,100,80,40.00,3,96.91,0.34,408.23,505.82
22:00,0,0,75,36,0,0,0,0,0,0,0,0,0,0,75,36.00,3,75.8,0.48,422.54,499
23:00,0,0,23,43.47,0,0,0,0,0,0,0,0,11,100,34,61.76,3,50.39,0.78,736.39,787.86
