Time,WAP Browser Request Number,WAP Browser Request Success Ratio(%),HTTP Browser Request Number,HTTP Browser Request Success Ratio(%),JAVA Download Request Number,JAVA Download Request Success Ratio(%),MMS POST Request Number,MMS POST Request Success Ratio(%),MMS GET Request Number,MMS GET Request Ratio(%),PUSH Request Number,PUSH Request Success Ratio(%),Radius Request Number,Radius Request Success Ratio(%),Request Number,Request Success Ratio(%),Online User Number,Gateway Forward Request Delay(ms),Gateway Forward Response Delay(ms),SP Delay(ms),Service Delay(ms)
00:00,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100.00,3,26,0,310,336
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
02:00,0,0,3,66.66,0,0,0,0,0,0,0,0,0,0,3,66.66,3,64.33,1,343,408.33
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,3,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
08:00,0,0,13,100,0,0,0,0,0,0,0,0,7,100,20,100.00,4,28.23,0.69,87.84,117.07
09:00,0,0,96,96.87,0,0,0,0,0,0,0,0,2,100,98,96.93,4,29.82,0.46,2547.86,2578.37
10:00,0,0,53,96.22,0,0,0,0,0,0,0,0,5,100,58,96.55,4,96.3,0.16,3474.07,3570.77
11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
12:00,0,0,0,0,0,0,0,0,0,0,0,0,10,100,10,100.00,3,0,0,0,0
13:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,3,0,0,0,0
14:00,0,0,3,66.66,0,0,0,0,0,0,0,0,2,100,5,80.00,3,42,0,38.66,81
15:00,0,0,0,0,0,0,0,0,0,0,0,0,6,100,6,100.00,4,0,0,0,0
16:00,0,0,2,50,0,0,0,0,0,0,0,0,5,100,7,85.71,3,18,0,21,39.5
17:00,0,0,4,100,0,0,0,0,0,0,0,0,6,100,10,100.00,4,9.75,3,521.25,534.75
18:00,0,0,2,50,0,0,0,0,0,0,0,0,10,100,12,91.66,2,40,0,48,88
19:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,2,0,0,0,0
20:00,0,0,4,75,0,0,0,0,0,0,0,0,0,0,4,75.00,2,37.25,0.75,29.5,68
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,4,100,4,100.00,2,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,2,0,0,0,0
