Gateway,Gateway Request Number,Total Number,Gateway Request Success Number,Gateway Request Virtual Number,Gateway Top Request Number,Gateway Success Rate(%),Gateway Virtual Rate(%),Gateway Top Average CPU Rate,Gateway Average Delay
wapgw1,1,1,0,1,0,0.00,100.00,3.00,0.00
wapgw2,29,29,28,29,0,96.55,100.00,1.00,4.03
wapgw4,0,0,0,0,0,0.00,0.00,2.00,0.00
wapradius,0,0,0,0,0,0.00,0.00,2.00,0.00
Total/Average,30,30,28,30,0,93.33,100.00,2.00,4.03
