Time,WAP Browser Request Number,WAP Browser Request Success Ratio(%),HTTP Browser Request Number,HTTP Browser Request Success Ratio(%),JAVA Download Request Number,JAVA Download Request Success Ratio(%),MMS POST Request Number,MMS POST Request Success Ratio(%),MMS GET Request Number,MMS GET Request Ratio(%),PUSH Request Number,PUSH Request Success Ratio(%),Radius Request Number,Radius Request Success Ratio(%),Request Number,Request Success Ratio(%),Online User Number,Gateway Forward Request Delay(ms),Gateway Forward Response Delay(ms),SP Delay(ms),Service Delay(ms)
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
08:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,1,0,0,0,0
09:00,0,0,142,54.22,0,0,0,0,0,0,0,0,7,100,149,56.37,3,62.54,0.57,1557.4,1619.39
10:00,0,0,435,65.74,0,0,0,0,0,0,0,0,0,0,435,65.74,3,109.31,0.52,1620.05,1728.93
11:00,0,0,255,51.76,0,0,0,0,0,0,0,0,14,100,269,54.27,3,49.04,0.44,1557.11,1604.8
12:00,0,0,239,52.71,0,0,0,0,0,0,0,0,32,100,271,58.30,3,64.79,0.43,1274.23,1338.25
13:00,0,0,223,52.46,0,0,0,0,0,0,0,0,0,0,223,52.46,3,64.08,0.43,1127.47,1190.15
14:00,0,0,846,85.1,0,0,0,0,0,0,0,0,6,100,852,85.21,3,132.35,0.6,1134.66,1267.34
15:00,0,0,159,51.57,0,0,0,0,0,0,0,0,0,0,159,51.57,3,79.74,0.52,569.16,647.21
16:00,0,0,220,71.36,0,0,0,0,0,0,0,0,0,0,220,71.36,3,142.61,0.62,694.82,837.02
17:00,0,0,64,31.25,0,0,0,0,0,0,0,0,0,0,64,31.25,3,115.79,0.7,900.25,1015.21
18:00,0,0,44,43.18,0,0,0,0,0,0,0,0,3,100,47,46.80,3,104.27,0.47,673.4,778.56
19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,4,100,4,100.00,1,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
