Time,WAP Browser Request Number,WAP Browser Request Success Ratio(%),HTTP Browser Request Number,HTTP Browser Request Success Ratio(%),JAVA Download Request Number,JAVA Download Request Success Ratio(%),MMS POST Request Number,MMS POST Request Success Ratio(%),MMS GET Request Number,MMS GET Request Ratio(%),PUSH Request Number,PUSH Request Success Ratio(%),Radius Request Number,Radius Request Success Ratio(%),Request Number,Request Success Ratio(%),Online User Number,Gateway Forward Request Delay(ms),Gateway Forward Response Delay(ms),SP Delay(ms),Service Delay(ms)
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
01:00,0,0,2,50,0,0,0,0,0,0,0,0,0,0,2,50.00,1,16.5,1.5,23,41.5
02:00,0,0,2,50,0,0,0,0,0,0,0,0,0,0,2,50.00,1,3,0,39.5,43
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
05:00,0,0,2,50,0,0,0,0,0,0,0,0,0,0,2,50.00,1,5,0,54.5,59.5
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
07:00,0,0,2,50,0,0,0,0,0,0,0,0,0,0,2,50.00,1,13,0,19.5,33
08:00,0,0,0,0,0,0,0,0,0,0,0,0,6,100,6,100.00,1,0,0,0,0
09:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,1,0,0,0,0
10:00,0,0,0,0,0,0,0,0,0,0,0,0,4,100,4,100.00,1,0,0,0,0
11:00,0,0,3,66.66,0,0,0,0,0,0,0,0,14,100,17,94.11,1,26.33,0,19.33,46.33
12:00,0,0,1,100,0,0,0,0,0,0,0,0,20,100,21,100.00,1,73,3,283,360
13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
16:00,0,0,2,50,0,0,0,0,0,0,0,0,0,0,2,50.00,1,21.5,0,9.5,31.5
17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
18:00,0,0,0,0,0,0,0,0,0,0,0,0,10,100,10,100.00,1,0,0,0,0
19:00,0,0,0,0,0,0,0,0,0,0,0,0,6,100,6,100.00,1,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0,6,100,6,100.00,1,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1,0,0,0,0
