Gateway,Gateway Request Number,Total Number,Gateway Request Success Number,Gateway Request Virtual Number,Gateway Top Request Number,Gateway Success Rate(%),Gateway Virtual Rate(%),Gateway Top Average CPU Rate,Gateway Average Delay
wapgw1,231,231,91,231,0,39.39,100.00,3.00,629.97
wapgw2,14,14,9,14,0,64.28,100.00,1.00,51.66
wapgw3,0,0,0,0,0,0.00,0.00,2.00,0.00
wapgw4,0,0,0,0,0,0.00,0.00,2.00,0.00
wapradius,0,0,0,0,0,0.00,0.00,2.00,0.00
Total/Average,245,245,100,245,0,40.81,100.00,2.00,577.93
