Time,WAP Browser Request Number,WAP Browser Request Success Ratio(%),HTTP Browser Request Number,HTTP Browser Request Success Ratio(%),JAVA Download Request Number,JAVA Download Request Success Ratio(%),MMS POST Request Number,MMS POST Request Success Ratio(%),MMS GET Request Number,MMS GET Request Ratio(%),PUSH Request Number,PUSH Request Success Ratio(%),Radius Request Number,Radius Request Success Ratio(%),Request Number,Request Success Ratio(%),Online User Number,Gateway Forward Request Delay(ms),Gateway Forward Response Delay(ms),SP Delay(ms),Service Delay(ms)
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
02:00,0,0,1,100,0,0,0,0,0,0,0,0,2,100,3,100.00,3,13,0,13,26
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,3,0,0,0,0
08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2,0,0,0,0
09:00,0,0,0,0,0,0,0,0,0,0,0,0,7,100,7,100.00,4,0,0,0,0
10:00,0,0,2,50,0,0,0,0,0,0,0,0,0,0,2,50.00,4,41.5,0,53,94.5
11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4,0,0,0,0
12:00,0,0,0,0,0,0,0,0,0,0,0,0,10,100,10,100.00,4,0,0,0,0
13:00,0,0,0,0,0,0,0,0,0,0,0,0,14,100,14,100.00,4,0,0,0,0
14:00,0,0,1,100,0,0,0,0,0,0,0,0,3,100,4,100.00,4,90,0,20,110
15:00,34,0,26,92.3,0,0,0,0,0,0,0,0,13,100,73,50.68,4,50.96,0.15,243.65,294.86
16:00,0,0,36,100,0,0,0,0,0,0,0,0,26,100,62,100.00,4,124.36,0.75,435.55,561.08
17:00,0,0,11,100,0,0,0,0,0,0,0,0,20,100,31,100.00,4,142.18,1.09,411.81,555.36
18:00,0,0,2,100,0,0,0,0,0,0,0,0,12,100,14,100.00,3,76.5,0,46.5,123
19:00,0,0,0,0,0,0,0,0,0,0,0,0,12,100,12,100.00,3,0,0,0,0
20:00,0,0,1,100,0,0,0,0,0,0,0,0,4,100,5,100.00,3,43,0,16,60
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100.00,3,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3,0,0,0,0
