Gateway,Gateway Request Number,Total Number,Gateway Request Success Number,Gateway Request Virtual Number,Gateway Top Request Number,Gateway Success Rate(%),Gateway Virtual Rate(%),Gateway Top Average CPU Rate,Gateway Average Delay
wapgw1,0,0,0,0,0,0.00,0.00,3.00,0.00
wapgw2,20,20,13,20,0,65.00,100.00,1.00,49.84
wapgw3,0,0,0,0,0,0.00,0.00,2.00,0.00
wapgw4,0,0,0,0,0,0.00,0.00,2.00,0.00
wapradius,0,0,0,0,0,0.00,0.00,1.00,0.00
Total/Average,20,20,13,20,0,65.00,100.00,1.80,49.84
